id,row_name,W_P_01,W_P_12,W_P_13,W_P_02,W_P_23,W_v_1,W_v_2,W_v_3,h,T_x_01_L,T_x_01_M,T_x_01_H,T_x_12_L,T_x_12_M,T_x_12_H,T_x_13_L,T_x_13_M,T_x_13_H,T_x_02_L,T_x_02_M,T_x_02_H,T_x_23_L,T_x_23_M,T_x_23_H,d,r
E01,capacity_01_1,1,0,0,0,0,0,0,0,0,35,65,100,0,0,0,0,0,0,0,0,0,0,0,0,0,60
E02,capacity_01_-1,-1,0,0,0,0,0,0,0,0,35,65,100,0,0,0,0,0,0,0,0,0,0,0,0,0,60
E03,capacity_12_1,0,1,0,0,0,0,0,0,0,0,0,0,35,65,100,0,0,0,0,0,0,0,0,0,0,60
E04,capacity_12_-1,0,-1,0,0,0,0,0,0,0,0,0,0,35,65,100,0,0,0,0,0,0,0,0,0,0,60
E05,capacity_13_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,65,100,0,0,0,0,0,0,0,60
E06,capacity_13_-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,35,65,100,0,0,0,0,0,0,0,60
E07,capacity_02_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,65,100,0,0,0,0,60
E08,capacity_02_-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,65,100,0,0,0,0,60
E09,capacity_23_1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,65,100,0,60
E10,capacity_23_-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,65,100,0,60
E11,balance_1_1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,60
E12,balance_1_-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,60
E13,voltage_upper_1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1351
E14,voltage_lower_1,0,0,0,0,0,-1,0,0,-0.8649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1351
E15,balance_2_1,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,60
E16,balance_2_-1,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,60
E17,voltage_upper_2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1351
E18,voltage_lower_2,0,0,0,0,0,0,-1,0,-0.8649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1351
E19,balance_3_1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,60
E20,balance_3_-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,60
E21,voltage_upper_3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1351
E22,voltage_lower_3,0,0,0,0,0,0,0,-1,-0.8649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1351
E23,transformer,0,0,0,0,0,0,0,0,142.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60,60
E24,drop_upper_01_L,0.0032348105031393495,0,0,0,0,1,0,0,1.458581050313935,-0.4585810503139349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1351
E25,drop_lower_01_L,-0.0032348105031393495,0,0,0,0,-1,0,0,-0.5414189496860651,-0.4585810503139349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1351
E26,drop_upper_01_M,0.0017773105031393497,0,0,0,0,1,0,0,1.3128310503139349,0,-0.312831050313935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1351
E27,drop_lower_01_M,-0.0017773105031393497,0,0,0,0,-1,0,0,-0.687168949686065,0,-0.312831050313935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1351
E28,drop_upper_01_H,0.0009523105031393499,0,0,0,0,1,0,0,1.2303310503139349,0,0,-0.23033105031393497,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1351
E29,drop_lower_01_H,-0.0009523105031393499,0,0,0,0,-1,0,0,-0.769668949686065,0,0,-0.23033105031393497,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1351
E30,drop_upper_12_L,0,0.0026466631389321952,0,0,0,-1,1,0,0.39976631389321954,0,0,0,-0.39976631389321954,0,0,0,0,0,0,0,0,0,0,0,0,0.1351
E31,drop_lower_12_L,0,-0.0026466631389321952,0,0,0,1,-1,0,0.39976631389321954,0,0,0,-0.39976631389321954,0,0,0,0,0,0,0,0,0,0,0,0,0.1351
E32,drop_upper_12_M,0,0.0014541631389321952,0,0,0,-1,1,0,0.2805163138932195,0,0,0,0,-0.2805163138932195,0,0,0,0,0,0,0,0,0,0,0,0.1351
E33,drop_lower_12_M,0,-0.0014541631389321952,0,0,0,1,-1,0,0.2805163138932195,0,0,0,0,-0.2805163138932195,0,0,0,0,0,0,0,0,0,0,0,0.1351
E34,drop_upper_12_H,0,0.0007791631389321954,0,0,0,-1,1,0,0.21301631389321954,0,0,0,0,0,-0.21301631389321954,0,0,0,0,0,0,0,0,0,0,0.1351
E35,drop_lower_12_H,0,-0.0007791631389321954,0,0,0,1,-1,0,0.21301631389321954,0,0,0,0,0,-0.21301631389321954,0,0,0,0,0,0,0,0,0,0,0.1351
E36,drop_upper_13_L,0,0,0.0035288841852429273,0,0,-1,0,1,0.4879884185242927,0,0,0,0,0,0,-0.4879884185242927,0,0,0,0,0,0,0,0,0,0.1351
E37,drop_lower_13_L,0,0,-0.0035288841852429273,0,0,1,0,-1,0.4879884185242927,0,0,0,0,0,0,-0.4879884185242927,0,0,0,0,0,0,0,0,0,0.1351
E38,drop_upper_13_M,0,0,0.001938884185242927,0,0,-1,0,1,0.3289884185242927,0,0,0,0,0,0,0,-0.3289884185242927,0,0,0,0,0,0,0,0,0.1351
E39,drop_lower_13_M,0,0,-0.001938884185242927,0,0,1,0,-1,0.3289884185242927,0,0,0,0,0,0,0,-0.3289884185242927,0,0,0,0,0,0,0,0,0.1351
E40,drop_upper_13_H,0,0,0.0010388841852429272,0,0,-1,0,1,0.23898841852429273,0,0,0,0,0,0,0,0,-0.23898841852429273,0,0,0,0,0,0,0,0.1351
E41,drop_lower_13_H,0,0,-0.0010388841852429272,0,0,1,0,-1,0.23898841852429273,0,0,0,0,0,0,0,0,-0.23898841852429273,0,0,0,0,0,0,0,0.1351
E42,drop_upper_02_L,0,0,0,0.004411105231553658,0,0,1,0,1.5762105231553658,0,0,0,0,0,0,0,0,0,-0.5762105231553658,0,0,0,0,0,0,0.1351
E43,drop_lower_02_L,0,0,0,-0.004411105231553658,0,0,-1,0,-0.4237894768446342,0,0,0,0,0,0,0,0,0,-0.5762105231553658,0,0,0,0,0,0,0.1351
E44,drop_upper_02_M,0,0,0,0.0024236052315536587,0,0,1,0,1.3774605231553658,0,0,0,0,0,0,0,0,0,0,-0.3774605231553659,0,0,0,0,0,0.1351
E45,drop_lower_02_M,0,0,0,-0.0024236052315536587,0,0,-1,0,-0.6225394768446342,0,0,0,0,0,0,0,0,0,0,-0.3774605231553659,0,0,0,0,0,0.1351
E46,drop_upper_02_H,0,0,0,0.001298605231553659,0,0,1,0,1.264960523155366,0,0,0,0,0,0,0,0,0,0,0,-0.2649605231553659,0,0,0,0,0.1351
E47,drop_lower_02_H,0,0,0,-0.001298605231553659,0,0,-1,0,-0.7350394768446341,0,0,0,0,0,0,0,0,0,0,0,-0.2649605231553659,0,0,0,0,0.1351
E48,drop_upper_23_L,0,0,0,0,0.0023525894568286183,0,-1,1,0.3703589456828618,0,0,0,0,0,0,0,0,0,0,0,0,-0.3703589456828618,0,0,0,0.1351
E49,drop_lower_23_L,0,0,0,0,-0.0023525894568286183,0,1,-1,0.3703589456828618,0,0,0,0,0,0,0,0,0,0,0,0,-0.3703589456828618,0,0,0,0.1351
E50,drop_upper_23_M,0,0,0,0,0.0012925894568286181,0,-1,1,0.2643589456828618,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2643589456828618,0,0,0.1351
E51,drop_lower_23_M,0,0,0,0,-0.0012925894568286181,0,1,-1,0.2643589456828618,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2643589456828618,0,0,0.1351
E52,drop_upper_23_H,0,0,0,0,0.0006925894568286182,0,-1,1,0.20435894568286184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20435894568286184,0,0.1351
E53,drop_lower_23_H,0,0,0,0,-0.0006925894568286182,0,1,-1,0.20435894568286184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.20435894568286184,0,0.1351
