cuts,budget_cny,master_lambda_upper
0,0.0,3.0
0,5000.0,3.0
0,9440.0,3.0
0,9460.0,3.0
0,10000.0,3.0
0,14280.0,3.0
0,14300.0,3.0
0,15000.0,3.0
0,20000.0,3.0
0,25000.0,3.0
0,30000.0,3.0
0,32340.0,3.0
0,32360.0,3.0
0,35000.0,3.0
0,40000.0,3.0
0,41580.0,3.0
0,41600.0,3.0
0,45000.0,3.0
0,50000.0,3.0
0,51000.0,3.0
0,51020.0,3.0
0,55000.0,3.0
0,56280.0,3.0
0,56300.0,3.0
0,60000.0,3.0
10,0.0,0.5833333333333334
10,5000.0,0.5833333333333334
10,9440.0,0.5833333333333334
10,9460.0,1.0833333333333333
10,10000.0,1.0833333333333333
10,14280.0,1.0833333333333333
10,14300.0,1.2273796366934235
10,15000.0,1.2273796366934235
10,20000.0,1.2273796366934235
10,25000.0,1.2273796366934242
10,30000.0,1.2273796369161636
10,32340.0,1.2273796366934246
10,32360.0,1.566887426743222
10,35000.0,1.666666666666675
10,40000.0,1.6666666666666667
10,41580.0,1.789741026468161
10,41600.0,1.789741026468161
10,45000.0,1.7897410264681712
10,50000.0,2.2500000000000004
10,51000.0,2.2500000000000004
10,51020.0,2.375
10,55000.0,2.375
10,56280.0,2.375
10,56300.0,2.375
10,60000.0,2.375
40,0.0,0.5469150866641832
40,5000.0,0.5469150866641832
40,9440.0,0.5469150866641832
40,9460.0,0.8466403292460465
40,10000.0,0.8466403292460465
40,14280.0,0.8466403292460466
40,14300.0,1.2273796366934235
40,15000.0,1.2273796366934235
40,20000.0,1.227379636693426
40,25000.0,1.2273796366934242
40,30000.0,1.2273796369161643
40,32340.0,1.2273796369161645
40,32360.0,1.5668874267432416
40,35000.0,1.566887426743222
40,40000.0,1.5668874267432247
40,41580.0,1.566887426743227
40,41600.0,1.6666666666666667
40,45000.0,1.6666666666666667
40,50000.0,1.6666666666666667
40,51000.0,1.6666666666666665
40,51020.0,2.01114442249336
40,55000.0,2.0111444224933592
40,56280.0,2.0111444224933592
40,56300.0,2.375
40,60000.0,2.375
