global_iteration,query_number,outer_round,phase,iteration,cut_count_before,lower_bound,upper_bound,violation,candidate_cost_cny,candidate_lambda,design_capacity,design,candidate_x,master_bound,absolute_gap,cut_added,cut_id,cut_count_after,cut_margin_at_candidate,dual_stationarity_error,dual_normalization,dual_min_multiplier,strong_duality_error,action,master_status
1,1,1,MP2,1,0,1.1822835049578209,3.0,0.625,58340.0,3.0,1.1822835049578209,12:M; 02:H; 23:H,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",3.0,1.8177164950421791,True,1.0,1,-0.625,0.0,1.0,-0.0,0.0,add_cut,optimal
2,1,1,MP2,2,1,1.1822835049578209,2.375,0.14166666666666666,58340.0,2.375,1.1822835049578209,12:M; 02:H; 23:H,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",2.375,1.1927164950421791,True,2.0,2,-0.14166666666666666,0.0,1.0,-0.0,0.0,add_cut,optimal
3,1,1,MP2,3,2,1.4841965002576183,2.375,0.07669007407495956,47300.0,2.375,1.4841965002576183,01:H; 13:L; 02:H,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",2.375,0.8908034997423817,True,3.0,3,-0.07669007407495959,4.336808689942018e-19,1.0,-0.0,2.7755575615628914e-17,add_cut,optimal
4,1,1,MP2,4,3,2.011144422493353,2.375,0.02820734584871912,57620.0,2.375,2.011144422493353,01:H; 13:M; 02:H,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",2.375,0.363855577506647,True,4.0,4,-0.028207345848719007,4.336808689942018e-19,1.0,-0.0,1.1449174941446927e-16,add_cut,optimal
5,1,1,MP2,5,4,2.375,2.375,0.0,62900.0,2.375,2.375,01:H; 13:H; 02:H,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",2.375,0.0,False,,4,0.0,0.0,1.0,-0.0,0.0,accept,optimal
6,2,1,MP1,1,4,42460.0,inf,0.12702810260429262,42460.0,2.375,1.0892905149680527,01:M; 13:L; 02:H,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",42460.0,inf,True,5.0,5,-0.1270281026042926,0.0,1.0,-0.0,2.7755575615628914e-17,add_cut,optimal
7,2,1,MP1,2,5,52379.99999999999,inf,0.1183140510095062,52380.0,2.375,1.1247552090055435,01:H; 02:M; 23:L,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",52379.99999999999,inf,True,6.0,6,-0.11831405100950604,2.168404344971009e-19,1.0,-0.0,1.6653345369377348e-16,add_cut,optimal
8,2,1,MP1,3,6,52780.0,inf,0.1,52780.0,2.375,1.3486306864428825,01:M; 13:M; 02:H,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",52780.0,inf,True,7.0,7,-0.1,0.0,1.0,-0.0,0.0,add_cut,optimal
9,2,1,MP1,4,7,54140.0,inf,0.05669860961051805,54140.0,2.375,1.6732717146455303,01:M; 02:H; 23:L,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",54140.0,inf,True,8.0,8,-0.056698609610517925,0.0,1.0,-0.0,1.249000902703301e-16,add_cut,optimal
10,2,1,MP1,5,8,54780.0,inf,0.09842662416342678,54780.0,2.375,1.296358179216414,01:H; 02:M; 23:M,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",54780.0,inf,True,9.0,9,-0.09842662416342676,2.168404344971009e-19,1.0,-0.0,1.3877787807814457e-17,add_cut,optimal
