query_number,outer_round,phase,query,query_unit,value,value_unit,master_solves,new_cuts,inherited_cuts,status
1,1,MP2,193780.0,CNY,2.375,lambda,5,4,0,optimal
2,1,MP1,2.375,lambda,56300.0,CNY,6,5,4,optimal
3,2,MP2,56280.0,CNY,2.011144422493364,lambda,5,4,9,optimal
4,2,MP1,2.011144422493353,lambda,51020.0,CNY,1,0,13,optimal
5,3,MP2,51000.0,CNY,1.6666666666666667,lambda,17,16,13,optimal
6,3,MP1,1.6666666666666667,lambda,41600.0,CNY,6,5,29,optimal
7,4,MP2,41580.0,CNY,1.5668874267432247,lambda,2,1,34,optimal
8,4,MP1,1.5668874267432231,lambda,32360.0,CNY,1,0,35,optimal
9,5,MP2,32340.0,CNY,1.227379636916163,lambda,1,0,35,optimal
10,5,MP1,1.227379636693424,lambda,14300.0,CNY,1,0,35,optimal
11,6,MP2,14280.0,CNY,0.8466403292460472,lambda,2,1,35,optimal
12,6,MP1,0.8466403292460464,lambda,9460.0,CNY,1,0,36,optimal
13,7,MP2,9440.0,CNY,0.5469150866641832,lambda,2,1,36,optimal
14,7,MP1,0.5469150866641825,lambda,0.0,CNY,1,0,37,optimal
