jump_cost_cny,offset_cny,budget_cny,benders_lambda,enumerated_lambda,absolute_error
0.0,0.0,0.0,0.5469150866641832,0.5469150866641825,6.661338147750939e-16
0.0,1.0,1.0,0.5469150866641832,0.5469150866641825,6.661338147750939e-16
9460.0,-1.0,9459.0,0.5469150866641832,0.5469150866641825,6.661338147750939e-16
9460.0,0.0,9460.0,0.8466403292460465,0.8466403292460464,1.1102230246251565e-16
9460.0,1.0,9461.0,0.8466403292460465,0.8466403292460464,1.1102230246251565e-16
14300.0,-1.0,14299.0,0.8466403292460466,0.8466403292460464,2.220446049250313e-16
14300.0,0.0,14300.0,1.2273796366934235,1.2273796366934238,2.220446049250313e-16
14300.0,1.0,14301.0,1.2273796366934235,1.2273796366934238,2.220446049250313e-16
32360.0,-1.0,32359.0,1.227379636916162,1.227379636693424,2.2273805022621218e-10
32360.0,0.0,32360.0,1.566887426743242,1.5668874267432231,1.887379141862766e-14
32360.0,1.0,32361.0,1.566887426743242,1.5668874267432231,1.887379141862766e-14
41600.0,-1.0,41599.0,1.5668874267432238,1.5668874267432231,6.661338147750939e-16
41600.0,0.0,41600.0,1.6666666666666667,1.6666666666666667,0.0
41600.0,1.0,41601.0,1.6666666666666667,1.6666666666666667,0.0
51020.0,-1.0,51019.0,1.6666666666666667,1.6666666666666667,0.0
51020.0,0.0,51020.0,2.0111444224933592,2.011144422493353,6.217248937900877e-15
51020.0,1.0,51021.0,2.011144422493363,2.011144422493353,9.769962616701378e-15
56300.0,-1.0,56299.0,2.0111444224933583,2.011144422493353,5.329070518200751e-15
56300.0,0.0,56300.0,2.375,2.375,0.0
56300.0,1.0,56301.0,2.375,2.375,0.0
