iteration,cut_count_before,lower_bound,upper_bound,violation,candidate_cost_cny,candidate_lambda,design_capacity,design,candidate_x,master_bound,absolute_gap,cut_added,cut_id,cut_count_after,cut_margin_at_candidate,dual_stationarity_error,dual_normalization,dual_min_multiplier,strong_duality_error,action,master_status
1,0,0.0,inf,0.36333333333333334,0.0,2.4,0.5469150866641825,01:L; 12:L; 13:L,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,inf,True,1.0,1,-0.3633333333333333,0.0,1.0,-0.0,5.551115123125783e-17,add_cut,optimal
2,1,40700.0,inf,0.07884234654855046,40700.0,2.4,1.4841965002576183,01:H; 13:L; 02:M,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",40700.0,inf,True,2.0,2,-0.07884234654855052,4.336808689942018e-19,1.0,-0.0,5.551115123125783e-17,add_cut,optimal
3,2,42460.0,inf,0.12949810271090956,42460.0,2.4,1.0892905149680527,01:M; 13:L; 02:H,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",42460.0,inf,True,3.0,3,-0.12949810271090953,0.0,1.0,-0.0,2.7755575615628914e-17,add_cut,optimal
4,3,51019.99999999999,inf,0.03014543252324616,51020.0,2.4,2.011144422493353,01:H; 13:M; 02:M,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",51019.99999999999,inf,True,4.0,4,-0.030145432523246057,4.336808689942018e-19,1.0,-0.0,1.0408340855860843e-16,add_cut,optimal
5,4,52379.99999999999,inf,0.1206798687249993,52380.0,2.4,1.1247552090055435,01:H; 02:M; 23:L,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",52379.99999999999,inf,True,5.0,5,-0.12067986872499914,2.168404344971009e-19,1.0,-0.0,1.6653345369377348e-16,add_cut,optimal
6,5,52780.0,inf,0.10333333333333332,52780.0,2.4,1.3486306864428825,01:M; 13:M; 02:H,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",52780.0,inf,True,6.0,6,-0.10333333333333336,0.0,1.0,-0.0,4.163336342344337e-17,add_cut,optimal
7,6,54140.0,inf,0.05871857270712742,54140.0,2.4,1.6732717146455303,01:M; 02:H; 23:L,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",54140.0,inf,True,7.0,7,-0.058718572707127215,0.0,1.0,-0.0,2.0816681711721685e-16,add_cut,optimal
8,7,54780.0,inf,0.1007078870967498,54780.0,2.4,1.296358179216414,01:H; 02:M; 23:M,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",54780.0,inf,True,8.0,8,-0.1007078870967498,2.168404344971009e-19,1.0,-0.0,0.0,add_cut,optimal
9,8,56300.0,inf,0.025,56300.0,2.4,2.375,01:H; 13:H; 02:M,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",56300.0,inf,True,9.0,9,-0.02499999999999991,0.0,1.0,-0.0,9.020562075079397e-17,add_cut,optimal
10,9,inf,inf,,,,,,,,,False,,9,,,,,,master_infeasible,infeasible
