iteration,cut_count_before,lower_bound,upper_bound,violation,candidate_cost_cny,candidate_lambda,design_capacity,design,candidate_x,master_bound,absolute_gap,cut_added,cut_id,cut_count_after,cut_margin_at_candidate,dual_stationarity_error,dual_normalization,dual_min_multiplier,strong_duality_error,action,master_status
1,0,0.0,inf,0.14333333333333334,0.0,1.3,0.5469150866641825,01:L; 12:L; 13:L,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,inf,True,1.0,1,-0.14333333333333334,0.0,1.0,-0.0,0.0,add_cut,optimal
2,1,14299.999999999949,inf,0.008821998917276776,14300.0,1.3,1.2273796366934238,01:H; 12:L; 13:L,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",14299.999999999949,inf,True,2.0,2,-0.008821998917276669,5.551115123125783e-17,1.0,-0.0,1.0755285551056204e-16,add_cut,optimal
3,2,22039.999999999985,inf,0.007560110607279846,22040.0,1.3,1.227379636693424,01:H; 12:M; 13:L,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",22039.999999999985,inf,True,3.0,3,-0.007560110607279874,4.336808689942018e-19,1.0,-0.0,2.7755575615628914e-17,add_cut,optimal
4,3,24619.99999999999,inf,0.007199669336555199,24620.0,1.3,1.2273796366934238,01:H; 12:L; 13:M,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",24619.99999999999,inf,True,4.0,4,-0.007199669336555248,0.0,1.0,-0.0,4.85722573273506e-17,add_cut,optimal
5,4,25979.99999999999,inf,0.0625443892659452,25980.0,1.3,0.7300308126526217,01:H; 12:L; 23:L,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",25979.99999999999,inf,True,5.0,5,-0.06254438926594522,6.505213034913027e-19,1.0,-0.0,1.3877787807814457e-17,add_cut,optimal
6,5,25979.99999999999,inf,0.07890335276259595,25980.0,1.3,0.5933209909406472,01:H; 13:L; 23:L,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",25979.99999999999,inf,True,6.0,6,-0.07890335276259586,0.0,1.0,-0.0,9.71445146547012e-17,add_cut,optimal
7,6,26399.99999999999,inf,0.06349889616774834,26400.0,1.3,0.740981730319215,01:L; 13:L; 02:M,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",26399.99999999999,inf,True,7.0,7,-0.06349889616774826,0.0,0.9999999999999998,-0.0,8.326672684688674e-17,add_cut,optimal
8,7,28380.000000000004,inf,0.05439031763276667,28380.0,1.3,0.7986489441863077,01:H; 12:L; 23:M,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",28380.000000000004,inf,True,8.0,8,-0.05439031763276664,2.168404344971009e-19,1.0,-0.0,3.469446951953614e-17,add_cut,optimal
9,8,28380.000000000004,inf,0.07213847154997262,28380.0,1.3,0.6542329609835489,01:H; 13:L; 23:M,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",28380.000000000004,inf,True,9.0,9,-0.07213847154997274,2.168404344971009e-19,1.0,-0.0,1.249000902703301e-16,add_cut,optimal
10,9,31360.0,inf,0.0208180980197644,31360.0,1.3,1.0892905149680527,01:M; 13:L; 02:L,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",31360.0,inf,True,10.0,10,-0.020818098019764364,0.0,1.0,-0.0,3.469446951953614e-17,add_cut,optimal
11,10,31900.000000000004,inf,0.04915661669581562,31900.0,1.3,0.8435278770945185,01:H; 12:L; 23:H,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",31900.000000000004,inf,True,11.0,11,-0.049156616695815725,2.168404344971009e-19,1.0,-0.0,1.0408340855860843e-16,add_cut,optimal
12,11,31900.000000000004,inf,0.06765194005866221,31900.0,1.3,0.6945966648535505,01:H; 13:L; 23:H,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",31900.000000000004,inf,True,12.0,12,-0.06765194005866221,2.168404344971009e-19,0.9999999999999999,-0.0,0.0,add_cut,optimal
13,12,32360.0,32360.0,0.0,32360.0,1.3,1.5668874267432231,01:H; 12:M; 13:M,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",32360.0,0.0,False,,12,0.0,0.0,1.0,-0.0,0.0,accept,optimal
