stage,cut_count,budget_cny,master_upper_bound,exact_lambda
空割池,0,0.0,3.0,0.5469150866641825
空割池,0,5000.0,3.0,0.5469150866641825
空割池,0,10000.0,3.0,0.8466403292460464
空割池,0,15000.0,3.0,1.2273796366934238
空割池,0,20000.0,3.0,1.2273796366934238
空割池,0,25000.0,3.0,1.227379636693424
空割池,0,30000.0,3.0,1.227379636693424
空割池,0,35000.0,3.0,1.5668874267432231
空割池,0,40000.0,3.0,1.5668874267432231
空割池,0,45000.0,3.0,1.6666666666666667
空割池,0,50000.0,3.0,1.6666666666666667
空割池,0,55000.0,3.0,2.011144422493353
空割池,0,60000.0,3.0,2.375
独立 MP2 后,10,0.0,0.5833333333333333,0.5469150866641825
独立 MP2 后,10,5000.0,0.5833333333333333,0.5469150866641825
独立 MP2 后,10,10000.0,1.0833333333333333,0.8466403292460464
独立 MP2 后,10,15000.0,1.2273796366934235,1.2273796366934238
独立 MP2 后,10,20000.0,1.2273796366934235,1.2273796366934238
独立 MP2 后,10,25000.0,1.2273796366934242,1.227379636693424
独立 MP2 后,10,30000.0,1.2273796366934246,1.227379636693424
独立 MP2 后,10,35000.0,1.6666666666666812,1.5668874267432231
独立 MP2 后,10,40000.0,1.6666666666666665,1.5668874267432231
独立 MP2 后,10,45000.0,1.7897410264681426,1.6666666666666667
独立 MP2 后,10,50000.0,2.250000000000001,1.6666666666666667
独立 MP2 后,10,55000.0,2.375,2.011144422493353
独立 MP2 后,10,60000.0,2.375,2.375
交替恢复后,37,0.0,0.5469150866641832,0.5469150866641825
交替恢复后,37,5000.0,0.5469150866641832,0.5469150866641825
交替恢复后,37,10000.0,0.8466403292460465,0.8466403292460464
交替恢复后,37,15000.0,1.2273796366934235,1.2273796366934238
交替恢复后,37,20000.0,1.227379636693426,1.2273796366934238
交替恢复后,37,25000.0,1.2273796366934242,1.227379636693424
交替恢复后,37,30000.0,1.2273796369161627,1.227379636693424
交替恢复后,37,35000.0,1.5668874267432238,1.5668874267432231
交替恢复后,37,40000.0,1.5668874267432247,1.5668874267432231
交替恢复后,37,45000.0,1.666666666666666,1.6666666666666667
交替恢复后,37,50000.0,1.6666666666666665,1.6666666666666667
交替恢复后,37,55000.0,2.0111444224933543,2.011144422493353
交替恢复后,37,60000.0,2.375,2.375
