iteration,cut_count_before,lower_bound,upper_bound,violation,candidate_cost_cny,candidate_lambda,design_capacity,design,candidate_x,master_bound,absolute_gap,cut_added,cut_id,cut_count_after,cut_margin_at_candidate,dual_stationarity_error,dual_normalization,dual_min_multiplier,strong_duality_error,action,master_status
1,0,0.5469150866641825,3.0,0.625,0.0,3.0,0.5469150866641825,01:L; 12:L; 13:L,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,2.4530849133358172,True,1.0,1,-0.625,0.0,1.0,0.0,0.0,add_cut,optimal
2,1,0.5469150866641825,2.375,0.35833333333333334,0.0,2.375,0.5469150866641825,01:L; 12:L; 13:L,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",2.375,1.8280849133358175,True,2.0,2,-0.35833333333333334,0.0,1.0,-0.0,0.0,add_cut,optimal
3,2,0.740981730319215,2.250000000000001,0.18333333333333332,33000.0,2.25,0.740981730319215,01:L; 13:L; 02:H,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",2.250000000000001,1.509018269680786,True,3.0,3,-0.18333333333333338,0.0,1.0,-0.0,5.551115123125783e-17,add_cut,optimal
4,3,1.2273796366934238,1.6666666666666667,0.05336505528672739,14300.0,1.6666666666666667,1.2273796366934238,01:H; 12:L; 13:L,"[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1.6666666666666667,0.439287029973243,True,4.0,4,-0.05336505528672722,5.551115123125783e-17,1.0,-0.0,1.734723475976807e-16,add_cut,optimal
5,4,1.2273796366934238,1.6666666666666667,0.11209083993017588,31900.0,1.6666666666666667,0.6945966648535505,01:H; 13:L; 23:H,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]",1.6666666666666667,0.439287029973243,True,5.0,5,-0.1120908399301758,1.0842021724855044e-19,1.0,-0.0,8.326672684688674e-17,add_cut,optimal
6,5,1.2273796366934238,1.6666666666666667,0.043551439508680685,24620.0,1.6666666666666667,1.2273796366934238,01:H; 12:L; 13:M,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1.6666666666666667,0.439287029973243,True,6.0,6,-0.043551439508680706,0.0,1.0,-0.0,2.0816681711721685e-17,add_cut,optimal
7,6,1.227379636693424,1.6666666666666667,0.04573178078056292,26000.0,1.6666666666666667,1.227379636693424,01:H; 12:H; 13:L,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1.6666666666666803,0.43928702997324276,True,7.0,7,-0.045731780780562975,4.336808689942018e-19,1.0,-0.0,5.551115123125783e-17,add_cut,optimal
8,7,1.5668874267432231,1.6666666666666667,0.010981457707743324,32360.0,1.6666666666666667,1.5668874267432231,01:H; 12:M; 13:M,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1.6666666666666798,0.09977923992344362,True,8.0,8,-0.010981457707743392,1.1102230246251565e-16,0.9999999999999999,-0.0,6.765421556309548e-17,add_cut,optimal
9,8,1.5668874267432231,1.6666666666666667,0.0902402599320984,31900.0,1.6666666666666667,0.8435278770945185,01:H; 12:L; 23:H,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1.666666666666678,0.09977923992344362,True,9.0,9,-0.09024025993209847,1.0842021724855044e-19,1.0,-0.0,6.938893903907228e-17,add_cut,optimal
10,9,1.5668874267432231,1.6250000000000269,0.05548104549046095,31360.0,1.6250000000000269,1.0892905149680527,01:M; 13:L; 02:L,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",1.6250000000000269,0.058112573256803746,True,10.0,10,-0.05548104549046065,0.0,0.9999999999999999,-0.0,2.983724378680108e-16,add_cut,optimal
11,10,1.5668874267432231,1.5668874267432222,0.0,32360.0,1.5668874267432222,1.5668874267432231,01:H; 12:M; 13:M,"[0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1.5668874267432222,-8.881784197001252e-16,False,,10,0.0,0.0,1.0,-0.0,0.0,accept,optimal
