iteration,phase,status,cost_cny,p1,p2,p3,total_kw,eta,cut_id,cuts,design
1,MP1 固定节点功率,cut,0.0,40.0,35.0,25.0,100.0,0.09639304158389612,1.0,1,01:L; 12:L; 13:L
2,MP1 固定节点功率,cut,9460.0,40.0,35.0,25.0,100.0,0.06459063700065086,2.0,2,01:M; 12:L; 13:L
3,MP1 固定节点功率,cut,14300.0,40.0,35.0,25.0,100.0,0.03190261182806448,3.0,3,01:H; 12:L; 13:L
4,MP1 固定节点功率,cut,17200.0,40.0,35.0,25.0,100.0,0.05618148657535344,4.0,4,01:M; 12:M; 13:L
5,MP1 固定节点功率,cut,18060.0,40.0,35.0,25.0,100.0,0.0914761624837651,5.0,5,01:L; 12:M; 13:M
6,MP1 固定节点功率,cut,19780.0,40.0,35.0,25.0,100.0,0.05787495347545762,6.0,6,01:M; 12:L; 13:M
7,MP1 固定节点功率,cut,21140.0,40.0,35.0,25.0,100.0,0.07416228481141751,7.0,7,01:M; 13:L; 23:L
8,MP1 固定节点功率,cut,21140.0,40.0,35.0,25.0,100.0,0.06972321011388687,8.0,8,01:M; 12:L; 23:L
9,MP1 固定节点功率,cut,21160.0,40.0,35.0,25.0,100.0,0.05398012046829959,9.0,9,01:M; 12:H; 13:L
10,MP1 固定节点功率,cut,21900.0,40.0,35.0,25.0,100.0,0.10989665226630341,10.0,10,12:L; 13:L; 02:L
11,MP1 固定节点功率,cut,22040.0,40.0,35.0,25.0,100.0,0.024747641936641182,11.0,11,01:H; 12:M; 13:L
12,MP1 固定节点功率,cut,23380.0,40.0,35.0,25.0,100.0,0.0912280701754386,12.0,12,01:L; 12:H; 23:L
13,MP1 固定节点功率,cut,24620.0,40.0,35.0,25.0,100.0,0.02537273325482362,13.0,13,01:H; 12:L; 13:M
14,MP1 固定节点功率,cut,25980.0,40.0,35.0,25.0,100.0,0.06199490992167443,14.0,14,01:H; 13:L; 23:L
15,MP1 固定节点功率,cut,25980.0,40.0,35.0,25.0,100.0,0.05448469275876519,15.0,15,01:H; 12:L; 23:L
16,MP1 固定节点功率,cut,26400.0,40.0,35.0,25.0,100.0,0.05019696257365694,16.0,16,01:L; 13:L; 02:M
17,MP1 固定节点功率,cut,28380.0,40.0,35.0,25.0,100.0,0.05952538506015459,17.0,17,01:H; 13:L; 23:M
18,MP1 固定节点功率,cut,28380.0,40.0,35.0,25.0,100.0,0.051092974550474506,18.0,18,01:H; 12:L; 23:M
19,MP1 固定节点功率,cut,31900.0,40.0,35.0,25.0,100.0,0.058070417073409306,19.0,19,01:H; 13:L; 23:H
20,MP1 固定节点功率,cut,31900.0,40.0,35.0,25.0,100.0,0.048847493882129285,20.0,20,01:H; 12:L; 23:H
21,MP1 固定节点功率,cut,32360.0,40.0,35.0,25.0,100.0,0.007663394709146898,21.0,21,01:H; 12:M; 13:M
22,MP1 固定节点功率,cut,33000.0,40.0,35.0,25.0,100.0,0.06719897290418209,22.0,22,12:L; 13:L; 02:H
23,MP1 固定节点功率,cut,33720.0,40.0,35.0,25.0,100.0,0.041119987956137735,23.0,23,01:H; 12:M; 23:L
24,MP1 固定节点功率,cut,36120.0,40.0,35.0,25.0,100.0,0.03494687345278411,24.0,24,01:H; 12:M; 23:M
25,MP1 固定节点功率,cut,36300.0,40.0,35.0,25.0,100.0,0.049717944903352615,25.0,25,01:H; 13:M; 23:L
26,MP1 固定节点功率,cut,36320.0,40.0,35.0,25.0,100.0,0.005732765239431972,26.0,26,01:H; 12:H; 13:M
27,MP1 固定节点功率,cut,36720.0,40.0,35.0,25.0,100.0,0.04412811120441034,27.0,27,01:L; 13:M; 02:M
28,MP1 固定节点功率,cut,37640.0,40.0,35.0,25.0,100.0,0.00702443544821227,28.0,28,01:H; 12:M; 13:H
29,MP1 固定节点功率,cut,37680.0,40.0,35.0,25.0,100.0,0.029891136127183915,29.0,29,01:H; 12:H; 23:L
