cut,beta0,beta_x0,beta_x1,beta_x2,beta_x3,beta_x4,beta_x5,beta_x6,beta_x7,beta_x8,beta_x9,beta_x10,beta_x11,beta_x12,beta_x13,beta_x14,beta_p1,beta_p2,beta_p3
1,0.3561358366365077,-0.15836709155406975,0.0,0.0,-0.07888909669041043,0.0,0.0,-0.07222400474014093,0.0,0.0,0.05737906187703046,0.10656111491448514,0.1639401767915156,0.0,0.0,0.0,-0.001117114479021832,-0.001639401767915156,-0.001639401767915156
2,0.42883577207137136,0.0,-0.15149871157378053,0.0,-0.11062855342642061,0.0,0.0,-0.10128189448562909,0.0,0.0,0.0557599058280228,0.10355411082347091,0.1593140166514937,0.0,0.0,0.0,-0.0008607209898823942,-0.001593140166514937,-0.001593140166514937
3,0.503560226108165,0.0,0.0,-0.1444390637064973,-0.14325187780540535,0.0,0.0,-0.1311489766735958,0.0,0.0,0.0540956601716993,0.10046336889029871,0.154559029061998,0.0,0.0,0.0,-0.0005971875578383073,-0.00154559029061998,-0.00154559029061998
4,0.42450683982144544,0.0,-0.16831459615424701,0.0,0.0,-0.10688393734772579,0.0,-0.07661954375060596,0.0,0.0,0.052861617497539565,0.09817157535257347,0.15103319285011302,0.0,0.0,0.0,-0.0009562583358538047,-0.0015103319285011303,-0.0015103319285011303
5,0.3436416485975607,-0.17608115394639062,0.0,0.0,0.0,-0.061548411085259214,0.0,0.0,-0.0541377990051506,0.0,0.05463949125265932,0.10147334089779589,0.1561128321504552,0.0,0.0,0.0,-0.0012420686938563043,-0.001561128321504552,-0.001561128321504552
6,0.425378616767662,0.0,-0.16492814895176577,0.0,-0.08911520615469211,0.0,0.0,0.0,-0.10010897865309752,0.0,0.053445285895225285,0.09925553094827554,0.15270081684350081,0.0,0.0,0.0,-0.0009370186594365924,-0.0015270081684350082,-0.0015270081684350082
7,0.2728762660246653,0.0,-0.09120888254649168,0.0,0.036010796881303014,0.06687719420813416,0.10288799108943718,-0.14227768728380538,0.0,0.0,0.05414751210454621,0.1005596653370144,0.1547071774415606,0.0,0.0,0.0,-0.0005181918635212342,-0.001547071774415606,-0.001547071774415606
8,0.32633329501173636,0.0,-0.08381155009175772,0.0,-0.10710264984321614,0.0,0.0,0.04687779174275356,0.08705875609368519,0.13393654783643874,0.04148342399108156,0.07704064455486576,0.11852406854594733,-0.09922402938224915,0.0,0.0,-0.0004761648439724445,-0.0011852406854594732,-0.001815530322336832
9,0.38608962617482334,0.0,-0.1290504442882375,0.0,0.0,0.0,0.0,-0.20130713416995213,0.0,0.0,0.025661438800061314,0.04765695777154244,0.07331839657160374,0.050951280258661434,0.09462380619465695,0.14557508645331838,-0.0007331839657160375,-0.0007331839657160375,-0.0021889348302492214
10,0.2554508400904868,0.05544515020602758,0.10296956466833694,0.1584147148743645,0.0,0.0,0.0,0.0,0.0,0.0,-0.20693277748242564,0.0,0.0,0.0,0.0,0.0,-0.0015841471487436452,-0.0015841471487436452,-0.0015841471487436452
