design_id,cost_cny,lambda_max,bottleneck,design
0,0.0,0.5469150866641825,voltage:2,01:L; 12:L; 13:L
1,10320.0,0.5469150866641825,voltage:2,01:L; 12:L; 13:M
2,15600.0,0.5469150866641825,voltage:2,01:L; 12:L; 13:H
3,7740.0,0.5469150866641825,voltage:3,01:L; 12:M; 13:L
4,18060.0,0.5833333333333334,capacity:01,01:L; 12:M; 13:M
5,23340.0,0.5833333333333334,capacity:01,01:L; 12:M; 13:H
6,11700.0,0.5469150866641825,voltage:3,01:L; 12:H; 13:L
7,22020.0,0.5833333333333334,capacity:01,01:L; 12:H; 13:M
8,27300.0,0.5833333333333334,capacity:01,01:L; 12:H; 13:H
9,9460.0,0.8466403292460464,voltage:2,01:M; 12:L; 13:L
10,19780.0,0.8466403292460464,voltage:2,01:M; 12:L; 13:M
11,25060.0,0.8466403292460464,voltage:2,01:M; 12:L; 13:H
12,17200.0,0.8466403292460465,voltage:3,01:M; 12:M; 13:L
13,27520.0,0.9954178876126037,voltage:2,01:M; 12:M; 13:M
14,32800.0,0.9954178876126037,voltage:2,01:M; 12:M; 13:H
15,21160.0,0.8466403292460465,voltage:3,01:M; 12:H; 13:L
16,31480.0,0.9954178876126037,voltage:3,01:M; 12:H; 13:M
17,36760.0,1.0833333333333333,capacity:01,01:M; 12:H; 13:H
18,14300.0,1.2273796366934238,voltage:2,01:H; 12:L; 13:L
19,24620.0,1.2273796366934238,voltage:2,01:H; 12:L; 13:M
20,29900.0,1.2273796366934238,voltage:2,01:H; 12:L; 13:H
21,22040.0,1.227379636693424,voltage:3,01:H; 12:M; 13:L
22,32360.0,1.5668874267432231,voltage:2,01:H; 12:M; 13:M
23,37640.0,1.5668874267432231,voltage:2,01:H; 12:M; 13:H
24,26000.0,1.227379636693424,voltage:3,01:H; 12:H; 13:L
25,36320.0,1.5668874267432231,voltage:3,01:H; 12:H; 13:M
26,41600.0,1.6666666666666667,capacity:01,01:H; 12:H; 13:H
27,11680.0,0.419551299358825,voltage:3,01:L; 12:L; 23:L
28,14080.0,0.4413436315254956,voltage:3,01:L; 12:L; 23:M
29,17600.0,0.4547126987642854,voltage:3,01:L; 12:L; 23:H
30,19420.0,0.4820297078817756,voltage:3,01:L; 12:M; 23:L
31,21820.0,0.511020062728434,voltage:3,01:L; 12:M; 23:M
32,25340.0,0.5290297085740786,voltage:3,01:L; 12:M; 23:H
33,23380.0,0.5264015470440436,voltage:3,01:L; 12:H; 23:L
34,25780.0,0.5611672700157672,voltage:3,01:L; 12:H; 23:M
35,29300.0,0.5829603446740476,voltage:3,01:L; 12:H; 23:H
36,21140.0,0.5759703583042481,voltage:3,01:M; 12:L; 23:L
37,23540.0,0.6178522760652227,voltage:3,01:M; 12:L; 23:M
38,27060.0,0.6443745139693644,voltage:3,01:M; 12:L; 23:H
39,28880.0,0.700641897236557,voltage:3,01:M; 12:M; 23:L
40,31280.0,0.7636082425521343,voltage:3,01:M; 12:M; 23:M
41,34800.0,0.804534540547857,voltage:3,01:M; 12:M; 23:H
42,32840.0,0.7984719367559082,voltage:3,01:M; 12:H; 23:L
43,35240.0,0.881288990662116,voltage:3,01:M; 12:H; 23:M
44,38760.0,0.9362557325249337,voltage:3,01:M; 12:H; 23:H
45,25980.0,0.7300308126526217,voltage:3,01:H; 12:L; 23:L
46,28380.0,0.7986489441863077,voltage:3,01:H; 12:L; 23:M
47,31900.0,0.8435278770945185,voltage:3,01:H; 12:L; 23:H
48,33720.0,0.9426248999344807,voltage:3,01:H; 12:M; 23:L
49,36120.0,1.060246636302032,voltage:3,01:H; 12:M; 23:M
50,39640.0,1.140823931839494,voltage:3,01:H; 12:M; 23:H
51,37680.0,1.1286721139090512,voltage:3,01:H; 12:H; 23:L
52,40080.0,1.301564223212587,voltage:3,01:H; 12:H; 23:M
53,43600.0,1.4251328167627026,voltage:3,01:H; 12:H; 23:H
54,21900.0,0.740981730319215,voltage:3,01:L; 13:L; 02:L
55,26400.0,0.740981730319215,voltage:3,01:L; 13:L; 02:M
56,33000.0,0.740981730319215,voltage:3,01:L; 13:L; 02:H
57,32220.0,0.852496720784941,voltage:3,01:L; 13:M; 02:L
