iteration,master_candidate_lambda,candidate_cost_cny,violation,lower_bound,upper_bound,cut_count_before,dominant_constraint,design
0,3.0,0.0,0.625,0.5469150866641825,3.0,0,transformer,01:L; 12:L; 13:L
1,2.375,0.0,0.35833333333333334,0.5469150866641825,2.375,1,capacity_01_1,01:L; 12:L; 13:L
2,2.25,33000.0,0.18333333333333332,0.740981730319215,2.250000000000001,2,capacity_01_1,01:L; 13:L; 02:H
3,1.6666666666666667,14300.0,0.05336505528672739,1.2273796366934238,1.6666666666666667,3,capacity_02_1,01:H; 12:L; 13:L
4,1.6666666666666667,31900.0,0.11209083993017588,1.2273796366934238,1.6666666666666667,4,capacity_02_1,01:H; 13:L; 23:H
5,1.6666666666666667,24620.0,0.043551439508680685,1.2273796366934238,1.6666666666666667,5,capacity_02_1,01:H; 12:L; 13:M
6,1.6666666666666667,26000.0,0.04573178078056292,1.227379636693424,1.6666666666666667,6,balance_3_-1,01:H; 12:H; 13:L
7,1.6666666666666667,32360.0,0.010981457707743324,1.5668874267432231,1.6666666666666667,7,drop_upper_01_H,01:H; 12:M; 13:M
8,1.6666666666666667,31900.0,0.0902402599320984,1.5668874267432231,1.6666666666666667,8,capacity_02_1,01:H; 12:L; 23:H
9,1.6250000000000269,31360.0,0.05548104549046095,1.5668874267432231,1.6250000000000269,9,balance_3_-1,01:M; 13:L; 02:L
10,1.5668874267432222,32360.0,0.0,1.5668874267432231,1.5668874267432222,10,feasible,01:H; 12:M; 13:M
